id,name,type,zone_min,zone_max,sun,soils,water,goals,harvest,traits,notes,partner,query,life_cycle,horizon,days_to_maturity_min,days_to_maturity_max,first_output_years_min,first_output_years_max,full_output_years_min,full_output_years_max,productive_lifespan_years_min,productive_lifespan_years_max,mature_height_ft_min,mature_height_ft_max,mature_spread_ft_min,mature_spread_ft_max,spacing_plant_ft_min,spacing_plant_ft_max,spacing_row_ft_min,spacing_row_ft_max,plants_per_100_sqft_min,plants_per_100_sqft_max,output_kind,output_unit,output_min,output_max,yield_lbs_unit,yield_lbs_min,yield_lbs_max,yield_lbs_confidence,yield_lbs_method,ten_year_yield_lbs_min,ten_year_yield_lbs_max,harvest_window_weeks_min,harvest_window_weeks_max,difficulty_score,reliability_score,maintenance_score,multi_use_score,risk_level,data_confidence,data_method,metric_source_keys,metric_notes,last_reviewed
celeste-fig,Celeste fig,fruit tree,7a,10b,full,clay; loam; sandy,low,fruit; curb-appeal,ripens in July to August,closed-eye fruit resists souring; compact fig for small yards,Hardy in warm zone 7 sites and very drought-tolerant once established.,starkbros,Celeste fig tree,woody perennial,Medium horizon,,,1,3,3,5,15,30,6,15,6,15,8,15,8,15,0.4,1.6,edible,lb/plant/year,20,60,lb/plant/year,20,60,low,direct pound yield from crop metric source,160,480,2,5,2,4,4,2,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
chicago-hardy-fig,Chicago Hardy fig,fruit tree,6a,10b,full,loam; sandy; clay,medium,fruit; curb-appeal,ripens in late summer,reliably resprouts after cold winters; good container candidate,The safest fig pick where winter lows are the main risk.,starkbros,Chicago Hardy fig,woody perennial,Medium horizon,,,1,3,3,5,15,30,6,15,6,15,8,15,8,15,0.4,1.6,edible,lb/plant/year,20,60,lb/plant/year,20,60,low,direct pound yield from crop metric source,160,480,2,5,2,4,4,2,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
brown-turkey-fig,Brown Turkey fig,fruit tree,7a,10b,full; partial,loam; sandy; clay,low,fruit; curb-appeal,often produces a breba and main crop,dependable backyard fig; handles humidity,A forgiving fig for beginners in the South and coastal climates.,starkbros,Brown Turkey fig tree,woody perennial,Medium horizon,,,1,3,3,5,15,30,6,15,6,15,8,15,8,15,0.4,1.6,edible,lb/plant/year,20,60,lb/plant/year,20,60,low,direct pound yield from crop metric source,160,480,2,5,2,4,4,2,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
lsu-purple-fig,LSU Purple fig,fruit tree,8a,10b,full,loam; clay; sandy,low,fruit,ripens from summer into fall,sweet dark fruit; bred for Gulf humidity,Best where summers are hot and disease pressure is real.,raintree,LSU Purple fig,woody perennial,Medium horizon,,,1,3,3,5,15,30,6,15,6,15,8,15,8,15,0.4,1.6,edible,lb/plant/year,20,60,lb/plant/year,20,60,low,direct pound yield from crop metric source,160,480,8,14,2,4,4,1,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
fuyu-persimmon,Fuyu Asian persimmon,fruit tree,7a,10a,full,loam; sandy; clay,medium,fruit; curb-appeal; pollinators-wildlife,ripens in October to November,non-astringent fruit; excellent fall color,"A tidy, productive tree for warm temperate yards.",starkbros,Fuyu persimmon tree,woody perennial,Long horizon,,,3,6,7,10,15,30,15,30,12,25,15,25,12,25,0.2,0.6,edible,lb/plant/year,35,75,lb/plant/year,35,75,low,direct pound yield from crop metric source,160.2,343.2,2,5,3,3,4,3,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
hachiya-persimmon,Hachiya Asian persimmon,fruit tree,7a,10a,full,loam; clay,medium,fruit; curb-appeal; pollinators-wildlife,ripens in late fall,large astringent fruit; excellent for baking when soft,Worth planting if you want rich pulp rather than crisp eating fruit.,starkbros,Hachiya persimmon tree,woody perennial,Long horizon,,,3,6,7,10,15,30,15,30,12,25,15,25,12,25,0.2,0.6,edible,lb/plant/year,35,75,lb/plant/year,35,75,low,direct pound yield from crop metric source,160.2,343.2,2,5,3,3,4,3,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
meader-persimmon,Meader American persimmon,fruit tree,4b,9a,full; partial,loam; clay; sandy,medium,fruit; pollinators-wildlife; low-maintenance-natives,drops ripe fruit in fall,self-fertile selection; native wildlife value,A cold-hardy native persimmon with real backyard utility.,raintree,Meader American persimmon,woody perennial,Long horizon,,,3,6,7,10,15,30,15,30,12,25,15,25,12,25,0.2,0.6,edible,lb/plant/year,35,75,lb/plant/year,35,75,low,direct pound yield from crop metric source,160.2,343.2,2,5,3,3,4,3,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
shenandoah-pawpaw,Shenandoah pawpaw,fruit tree,5a,9a,full; partial,loam; clay,medium,fruit; pollinators-wildlife; curb-appeal; low-maintenance-natives,ripens in September,large mild custardy fruit; native understory tree,"Give young trees afternoon shade, then more sun as they establish.",raintree,Shenandoah pawpaw tree,woody perennial,Long horizon,,,4,7,7,10,15,30,12,25,10,20,10,20,12,25,0.2,0.8,edible,lb/plant/year,15,40,lb/plant/year,15,40,low,direct pound yield from crop metric source,60.9,162.3,2,5,3,3,4,3,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
susquehanna-pawpaw,Susquehanna pawpaw,fruit tree,5a,9a,full; partial,loam; clay,medium,fruit; pollinators-wildlife,ripens in September to October,dense rich flesh; few seeds for a pawpaw,A top-flavor pawpaw if you can keep soil evenly moist.,raintree,Susquehanna pawpaw,woody perennial,Long horizon,,,4,7,7,10,15,30,12,25,10,20,10,20,12,25,0.2,0.8,edible,lb/plant/year,15,40,lb/plant/year,15,40,low,direct pound yield from crop metric source,60.9,162.3,2,5,3,3,4,2,moderate,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
illinois-everbearing-mulberry,Illinois Everbearing mulberry,fruit tree,4b,9a,full; partial,clay; loam; sandy,low,fruit; pollinators-wildlife; low-maintenance-natives,bears over several summer weeks,cold-hardy hybrid; productive with little fuss,Tolerates imperfect soil and feeds both people and birds.,starkbros,Illinois Everbearing mulberry,woody perennial,Long horizon,,,2,4,5,8,15,30,20,40,20,40,20,35,12,25,0.1,0.4,edible,lb/plant/year,30,100,lb/plant/year,30,100,low,direct pound yield from crop metric source,181.7,605.7,2,5,2,4,4,3,lower,low,tree fruit template; rootstock and region can change values materially,ncsu-plant-toolbox; mobot-plant-finder,"Quantitative values are broad estimates; verify cultivar-specific nursery and local extension data before buying at scale.; Rootstock, pruning system, chill hours, and pest pressure can materially change yield and mature size.; Pound-return values are estimated ranges; source quality and unit conversions are flagged separately from basic growing data.",2026-05-24
